====================================================================================================
Optimizer       | Alpha  | C     | LR     | Avg MSE         | Avg Time (ms)  
HyperGD         | 25.0   | 0.5   | 0.0500 | 46.7048         | 169.25         
HyperGD         | 25.0   | 0.8   | 0.0010 | 59.0261         | 170.23         
HyperGD         | 25.0   | 0.8   | 0.0050 | 59.6258         | 168.60         
HyperGD         | 25.0   | 0.8   | 0.0100 | 61.7165         | 167.35         
HyperGD         | 25.0   | 0.8   | 0.0500 | 67.8935         | 168.13         
HyperGD         | 50.0   | 0.2   | 0.0010 | 64.7339         | 169.36         
HyperGD         | 50.0   | 0.2   | 0.0050 | 69.2308         | 168.51         
HyperGD         | 50.0   | 0.2   | 0.0100 | 69.0821         | 169.62         
HyperGD         | 50.0   | 0.2   | 0.0500 | 69.0491         | 167.77         
HyperGD         | 50.0   | 0.5   | 0.0010 | 49.9351         | 171.40         
HyperGD         | 50.0   | 0.5   | 0.0050 | 58.7616         | 172.50         
HyperGD         | 50.0   | 0.5   | 0.0100 | 60.7515         | 170.78         
HyperGD         | 50.0   | 0.5   | 0.0500 | 62.3897         | 166.90         
HyperGD         | 50.0   | 0.8   | 0.0010 | 77.3655         | 165.46         
HyperGD         | 50.0   | 0.8   | 0.0050 | 79.4624         | 167.32         
HyperGD         | 50.0   | 0.8   | 0.0100 | 80.2984         | 169.69         
HyperGD         | 50.0   | 0.8   | 0.0500 | 79.5603         | 168.71         
L-BFGS          | 1.0    | 0.2   | 0.0010 | 66.2708         | 0.41           
L-BFGS          | 1.0    | 0.2   | 0.0050 | 66.2708         | 0.42           
L-BFGS          | 1.0    | 0.2   | 0.0100 | 66.2708         | 0.42           
L-BFGS          | 1.0    | 0.2   | 0.0500 | 66.2708         | 0.42           
L-BFGS          | 1.0    | 0.5   | 0.0010 | 64.9907         | 0.34           
L-BFGS          | 1.0    | 0.5   | 0.0050 | 64.9907         | 0.35           
L-BFGS          | 1.0    | 0.5   | 0.0100 | 64.9907         | 0.34           
L-BFGS          | 1.0    | 0.5   | 0.0500 | 64.9907         | 0.34           
L-BFGS          | 1.0    | 0.8   | 0.0010 | 65.6520         | 0.41           
L-BFGS          | 1.0    | 0.8   | 0.0050 | 65.6520         | 0.41           
L-BFGS          | 1.0    | 0.8   | 0.0100 | 65.6520         | 0.42           
L-BFGS          | 1.0    | 0.8   | 0.0500 | 65.6520         | 0.42           
L-BFGS          | 10.0   | 0.2   | 0.0010 | 42.1968         | 1.08           
