Optimizer,Alpha,C,LR,Avg MSE,Avg Time (ms)
Nesterov,10.0,0.5,0.0010,60.3786,4228.71
Nesterov,10.0,0.5,0.0050,60.3549,3960.03
Nesterov,10.0,0.5,0.0100,60.3563,3631.10
Nesterov,10.0,0.8,0.0010,62.7131,3759.66
Nesterov,10.0,0.8,0.0050,62.7004,3995.23
Nesterov,10.0,0.8,0.0100,62.7001,3703.63
Nesterov,50.0,0.2,0.0010,86.7851,3922.55
Nesterov,50.0,0.2,0.0050,81.8105,3971.49
Nesterov,50.0,0.2,0.0100,79.6774,3693.58
Nesterov,50.0,0.5,0.0010,56.2195,3168.46
Nesterov,50.0,0.5,0.0050,57.2719,3318.52
Nesterov,50.0,0.5,0.0100,58.8328,3663.94
Nesterov,50.0,0.8,0.0010,87.6278,2708.48
Nesterov,50.0,0.8,0.0050,82.9762,2675.22
Nesterov,50.0,0.8,0.0100,80.6132,2722.65
Projected GD,1.0,0.2,0.0010,68.9055,3053.85
Projected GD,1.0,0.2,0.0050,67.7003,3470.88
Projected GD,1.0,0.2,0.0100,67.6126,4298.72
Projected GD,1.0,0.5,0.0010,68.4657,4110.11
Projected GD,1.0,0.5,0.0050,67.2508,3915.83
Projected GD,1.0,0.5,0.0100,67.1584,3295.68
Projected GD,1.0,0.8,0.0010,69.0104,3814.00
Projected GD,1.0,0.8,0.0050,67.7978,3886.86
Projected GD,1.0,0.8,0.0100,67.7118,3195.59
Projected GD,10.0,0.2,0.0010,61.6642,3474.55
Projected GD,10.0,0.2,0.0050,60.9253,3235.37
Projected GD,10.0,0.2,0.0100,60.8799,3487.26
Projected GD,10.0,0.5,0.0010,61.4991,3394.94
Projected GD,10.0,0.5,0.0050,60.4591,3515.92
Projected GD,10.0,0.5,0.0100,60.3784,3622.32
Projected GD,10.0,0.8,0.0010,63.5017,3204.34
Projected GD,10.0,0.8,0.0050,62.7617,3283.44
Projected GD,10.0,0.8,0.0100,62.7136,3430.77
Projected GD,50.0,0.2,0.0010,93.3062,3087.35
Projected GD,50.0,0.2,0.0050,88.6553,3427.67
Projected GD,50.0,0.2,0.0100,86.8249,3502.43
Projected GD,50.0,0.5,0.0010,57.0787,3066.76
Projected GD,50.0,0.5,0.0050,55.4111,3350.28
Projected GD,50.0,0.5,0.0100,58.4811,3228.97
Projected GD,50.0,0.8,0.0010,94.2002,2259.12
Projected GD,50.0,0.8,0.0050,89.7666,2285.29
Projected GD,50.0,0.8,0.0100,87.6597,2451.53
Stochastic GD,1.0,0.2,0.0010,69.9394,1419.97
Stochastic GD,1.0,0.2,0.0050,67.9531,1180.09
Stochastic GD,1.0,0.2,0.0100,67.7014,997.83
Stochastic GD,1.0,0.5,0.0010,69.4131,1441.89
Stochastic GD,1.0,0.5,0.0050,67.5167,1456.15
Stochastic GD,1.0,0.5,0.0100,67.2521,1159.64
Stochastic GD,1.0,0.8,0.0010,70.0387,1170.76
Stochastic GD,1.0,0.8,0.0050,68.0511,1525.02
