n,alpha,c,seed,algo,loss,time,lr,iters,mse
10,10.0,0.5,0,gd,0.00044794255518354475,0.11397743225097656,0.001,500,4.479425551835447e-05
10,10.0,0.5,0,gd,0.00044794255518354475,0.11396217346191406,0.01,500,4.479425551835447e-05
10,10.0,0.8,0,gd,1.1245971336393268e-06,0.11369729042053223,0.001,500,1.1245971336393268e-07
10,10.0,0.8,0,gd,1.1245971336393268e-06,0.11384057998657227,0.005,500,1.1245971336393268e-07
10,10.0,0.5,0,gd,0.00044794255518354475,0.11895108222961426,0.005,500,4.479425551835447e-05
10,10.0,0.95,0,gd,5.601957653311729e-08,0.11549735069274902,0.001,500,5.6019576533117285e-09
10,10.0,0.95,0,gd,5.601957653311729e-08,0.11501431465148926,0.005,500,5.6019576533117285e-09
10,1.0,0.2,0,gd,0.9727274775505066,0.20879793167114258,0.005,1000,0.09727274775505065
10,10.0,0.8,0,gd,1.1245971336393268e-06,0.11635017395019531,0.01,500,1.1245971336393268e-07
10,20.0,0.2,0,gd,0.017842618748545647,0.11488962173461914,0.001,500,0.0017842618748545648
10,20.0,0.5,0,gd,2.060966686201482e-08,0.11362171173095703,0.001,500,2.060966686201482e-09
10,20.0,0.2,0,gd,0.0013263277942314744,0.11582207679748535,0.01,500,0.00013263277942314743
10,20.0,0.2,0,gd,0.0027594442944973707,0.11686897277832031,0.005,500,0.0002759444294497371
10,20.0,0.5,0,gd,2.060966686201482e-08,0.1134638786315918,0.01,500,2.060966686201482e-09
10,20.0,0.5,0,gd,2.060966686201482e-08,0.11818504333496094,0.005,500,2.060966686201482e-09
10,20.0,0.8,0,gd,1.266416035624121e-13,0.11656069755554199,0.005,500,1.266416035624121e-14
10,20.0,0.95,0,gd,3.139132954584203e-16,0.11752939224243164,0.001,500,3.1391329545842027e-17
10,20.0,0.95,0,gd,3.139132954584203e-16,0.11710166931152344,0.005,500,3.1391329545842027e-17
10,20.0,0.95,0,gd,3.139132954584203e-16,0.11797952651977539,0.01,500,3.1391329545842027e-17
10,1.0,0.2,1,gd,2.6711013317108154,0.11911129951477051,0.001,500,0.26711013317108157
10,1.0,0.5,1,gd,1.4253698587417603,0.11677265167236328,0.001,500,0.14253698587417601
10,1.0,0.8,1,gd,0.9611582159996033,0.11526083946228027,0.01,500,0.09611582159996032
10,1.0,0.8,1,gd,0.9611582159996033,0.1167154312133789,0.001,500,0.09611582159996032
10,1.0,0.95,1,gd,0.7777673602104187,0.11703801155090332,0.005,500,0.07777673602104188
10,1.0,0.95,1,gd,0.7777673602104187,0.11805224418640137,0.001,500,0.07777673602104188
10,5.0,0.2,1,gd,0.48257601261138916,0.1142430305480957,0.001,500,0.04825760126113891
10,10.0,0.8,0,gd,1.1245971336393268e-06,0.22282767295837402,0.01,1000,1.1245971336393268e-07
10,1.0,0.95,1,gd,0.7777673602104187,0.11970114707946777,0.01,500,0.07777673602104188
10,20.0,0.95,0,gd,3.139132954584203e-16,0.20220112800598145,0.01,1000,3.1391329545842027e-17
10,5.0,0.2,1,gd,0.056057121604681015,0.11844444274902344,0.005,500,0.005605712160468101
10,1.0,0.5,0,gd,1.4253698587417603,0.2131638526916504,0.001,1000,0.14253698587417601
10,5.0,0.2,1,gd,0.024977395310997963,0.12233567237854004,0.01,500,0.002497739531099796
10,5.0,0.5,1,gd,0.05754463002085686,0.11835074424743652,0.001,500,0.005754463002085685
10,1.0,0.8,0,gd,0.9611582159996033,0.19202852249145508,0.001,1000,0.09611582159996032
10,10.0,0.2,0,gd,0.005563207436352968,0.11839556694030762,0.01,500,0.0005563207436352968
10,1.0,0.5,1,gd,1.4253698587417603,0.10548067092895508,0.005,500,0.14253698587417601
10,20.0,0.8,0,gd,1.266416035624121e-13,0.11455106735229492,0.01,500,1.266416035624121e-14
10,1.0,0.8,0,gd,0.9611582159996033,0.126539945602417,0.01,500,0.09611582159996032
10,5.0,0.8,0,gd,0.003235037438571453,0.18511271476745605,0.005,1000,0.0003235037438571453
10,1.0,0.2,1,gd,1.638027310371399,0.11524486541748047,0.005,500,0.16380273103713988
10,1.0,0.5,0,gd,1.4253698587417603,0.20429778099060059,0.01,1000,0.14253698587417601
10,1.0,0.8,0,gd,0.9611582159996033,0.19902944564819336,0.005,1000,0.09611582159996032
10,5.0,0.95,0,gd,0.0007357326103374362,0.12968087196350098,0.01,500,7.357326103374362e-05
10,1.0,0.5,0,gd,1.4253698587417603,0.22188544273376465,0.005,1000,0.14253698587417601
